,,,
,,,
Faucet Inventory Results,,,NaN <1 = less than 1 part per billion
,,,
Location / Room Number,Outlet Type,Floor Number,Result # (ppb)
MLS dorm 2nd floor bathroom sink left,Bathroom Faucet,2,3.6
MLS dorm 2nd floor bathroom sink middle,Bathroom Faucet,2,2
MLS dorm 2nd floor bathroom sink right,Bathroom Faucet,2,2.2
MLS dorm 3rd floor bathroom sink left,Bathroom Faucet,3,1.6
MLS dorm 3rd floor bathroom sink right,Bathroom Faucet,3,1.7
MLSDC DORM COMMON RM SINK MLS,Kitchen Faucet,1,2.7
Mtn Classroom 1st FL Back Bathroom Sink,Bathroom Faucet,1,NaN <1
Mtn Classroom 1st FL Kitchen Sink,Kitchen Faucet,1,1.9
Mtn Classroom 1st FL Left Bathroom Sink Left,Bathroom Faucet,1,6
Mtn Classroom 1st FL Left Bathroom Sink Right,Bathroom Faucet,1,NaN <1
Mtn Classroom 1st FL Right Bathroom Sink Left,Bathroom Faucet,1,5.9
Mtn Classroom 1st FL Right Bathroom Sink Right,Bathroom Faucet,1,NaN <1
Mtn Classroom Basement Bathroom Sink,Bathroom Faucet,Basement,8.2
"NBWBF Base,ent level water bottle filler meeting house",Drinking Fountain,Basement,1
NDSS Outside dance studio sink meeting house,Kitchen Faucet,Basement,3.1
Newell Building 2nd Floor Bathroom Sink,Bathroom Faucet,2,2.9
Newell Building Kitchen Sink,Kitchen Faucet,2,4.4
NFFWBF 1st floor level water bottle filler MH,Drinking Fountain,1,1.5
NTBS Ticket booth sink meeting house,Kitchen Faucet,1,9.1
Outdoor Center East Bathroom Sink,Bathroom Faucet,1,NaN <1
Outdoor Center Left Drinking Fountain,Drinking Fountain,1,NaN <1
Outdoor Center Right Drinking Fountain,Drinking Fountain,1,NaN <1
Outdoor Center West Bathroom Sink,Bathroom Faucet,1,1.7
PAKAPT. Kitchen sink phelps,Bathroom Faucet,1,8.9
PBFFWC 1st fl admis water cooler proctor block,Drinking Fountain,1,NaN <1
PBSDWC 2nd fl development water cooler proctor block,Drinking Fountain,2,1.5
PBSFOS proctor block 2nd fl front office kitchen sink,Kitchen Faucet,2,8.1
PDC Dorm Common RM Sink Peabody,Kitchen Faucet,1,1.6
Peabody Dorm 1st FL East Bathroom Sink,Bathroom Faucet,1,3.1
Peabody Dorm 1st FL West Bathroom Sink,Bathroom Faucet,1,2.9
Peabody Dorm 2nd FL East Bathroom Sink,Bathroom Faucet,2,2.4
Peabody Dorm 2nd FL West Bathroom Sink,Bathroom Faucet,2,2.2
Peabody East Apt 1st floor fridge water dispenser,Refrigerator,1,Testing on 2/5/24
Peabody East Apt. 1st floor bathroom sink,Bathroom Faucet,1,Testing on 2/5/24
Peabody East Apt. 2nd floor bathroom sink,Bathroom Faucet,2,Testing on 2/5/24
Peabody West Apt 1st FL Bathroom,Bathroom Faucet,1,6
Peabody West Apt 2nd FL South Bathroom,Bathroom Faucet,2,2.8
Peabody West Apt 2nd Floor North Bathroom,Bathroom Faucet,2,4
PEAK East Apt. kitchen sink Peabody E. Apt,Kitchen Faucet,1,Testing on 2/5/24
Phelps 2nd floor bathroom sink,Bathroom Faucet,2,10
Phelps bathroom sink off kitchen,Bathroom Faucet,1,5
PWAK West Apt Kitchen Sink Peabody West Apt,Kitchen Faucet,1,2
RMAK APT. kitchen sink rulon apt,Kitchen Faucet,1,6.2
RMDC dorm common room sink rulon,Kitchen Faucet,1,16
Rulon Apt. 1st floor bathroom sink,Bathroom Faucet,1,8.2
Rulon Apt. 2nd floor bathroom sink,Bathroom Faucet,2,11
Rulon dorm 1st floor bathroom sink left,Bathroom Faucet,1,12
Rulon dorm 1st floor bathroom sink right,Bathroom Faucet,1,9.3
Rulon dorm 2nd floor bathroom sink left,Bathroom Faucet,2,5.2
Rulon dorm 2nd floor bathroom sink right,Bathroom Faucet,2,6.3
SAK Summerfield Apt. kitchen sink,Kitchen Faucet,1,2.9
Sally B Dorm 1st FL West Bathroom Left Sink,Bathroom Faucet,1,1.2
Sally B Dorm 1st FL West Bathroom Sink Right,Bathroom Faucet,1,1
Sally B Dorm 1st Floor Bathroom,Bathroom Faucet,1,NaN <1
Sally B Dorm 2nd FL East Bathroom Left Sink,Bathroom Faucet,2,NaN <1
Sally B Dorm 2nd FL East Bathroom Right Sink,Bathroom Faucet,2,NaN <1
Sally B Dorm 2nd FL West Bathroom Right Sink,Bathroom Faucet,2,NaN <1
Sally B Dorm 2nd FL West Bathroom Sink Left,Bathroom Faucet,2,NaN <1
Sally B Dorm 3rd FL Bathroom Left Sink,Bathroom Faucet,3,NaN <1
Sally B Dorm 3rd FL Bathroom Right Sink,Bathroom Faucet,3,NaN <1
Sally B East Apt 1st FL Bathroom,Bathroom Faucet,1,1
Sally B East Apt 2nd Floor Bathroom,Bathroom Faucet,2,1.1
Sally B West Apt 1st Floor Bathroom Sink,Bathroom Faucet,1,1.7
Sally B West Apt 2nd Floor Bathroom Left Sink,Bathroom Faucet,2,2.8
Sally B West Apt 2nd Floor Bathroom Right Sink,Bathroom Faucet,2,1.8
Sally B West Kitchen Sink,Kitchen Faucet,1,NaN <1
SBDC Dorm Common RM Sink Sally B,Kitchen Faucet,1,NaN <1
SBDHFF Sally B House Drinking Hose Football Field Outside Spicket,Other,1,22
SBEAK East Apt Kitchen Sink Sally B E Apt,Kitchen Faucet,1,NaN <1
SDC Dorm Common Rm Sink Summerfield,Kitchen Faucet,1,7.2
SFCRWBF 2nd floor by conf. Rm water bottle filler FH,Bathroom Faucet,2,NaN <1
SFCRWF 2nd fl by conf. Rm water fountain,Drinking Fountain,2,NaN <1
SHDWWBF Downstairs hallway water bottle filler Shirley,Drinking Fountain,1,1.9
SHPWF Photo area water fountain slocum,Drinking Fountain,1,3
SHUHWBF Upstairs hallway water bottle filler Shirley,Drinking Fountain,2,3
Summerfield Apt 1st floor bathroom sink,Bathroom Faucet,1,11
Summerfield Apt 2nd floor bathroom sink,Bathroom Faucet,2,12
Summerfield Dorm 1st FL Bathroom Sink Left,Bathroom Faucet,1,23
Summerfield Dorm 1st FL Bathroom Sink Right,Bathroom Faucet,1,11
Summerfield Dorm 2nd FL Bathroom Sink Left,Bathroom Faucet,2,16
